concept,present,absent,uncertain,historical,not_mentioned,sample_1,sample_2,sample_3,sample_4,sample_5
panc_not_evaluated,115,0,8,0,25363,"3 cm hypodense  lesion in the pancreatic body (series 4, image 104) not visualized on  the prior study likely due to thicker slices",Distal pancreas  is partially obscured by motion artifact,The  pancreas demonstrates a subcentimeter cystic lesion in the head that  is not well seen on this exam,Limited evaluation due to lack of IV contrast,Not visualized likely secondary to fatty atrophy and free  fluid in this region
submucosal_edema,3179,2221,60,24,20002,"At the point of transition, there is a short segment  of mild bowel wall thickening, improved compared to the prior CT of  <DATE> and which could represent resolving focal enteritis",There is diffuse marked colonic wall  thickening and submucosal edema involving the entire colon extending  to the rectum,Short segment sigmoid colon wall thickening with submucosal edema and mucosal hyperemia adjacent to an inflamed diverticulum,"A focal loop of more decompressed bowel with moderate bowel  wall thickening is identified in the left lower quadrant with  transition point adjacent to the pelvic mass (series 4, image 253 and  series 4, image 207)","Mild bowel wall thickening at the gastrojejunostomy may be due to  lack of distention or postoperative edema, without evidence of bowel  obstruction"
renal_hypodensities,4569,18,181,1,20717,"Kidneys: A subcentimeter hypodense lesion is seen within the midpole  of the right kidney, too small to characterize,",Hypodensities in the bilateral kidneys are too small to  characterize,There is a small hypodensity in the  right kidney which is too small to accurately characterize,"Multiple hypodense masses in the  left kidney, with the largest measuring 2","There are multiple subcentimeter  hypodensities in the bilateral kidneys, too small to characterize,"
aortic_valve_calcification,533,0,1,0,24952,Aortic valve calcifications,Calcification of the aortic valve leaflets,Aortic valvular and  coronary artery calcifications partially visualized,Aortic valvular and mitral annular calcification,Aortic valve calcification
coronary_calcification,2354,55,0,0,23077,Coronary calcifications,Moderate coronary artery calcification is noted,Coronary artery calcifications are seen,Coronary calcifications,There  is coronary artery calcification
thrombosis,1015,459,173,15,23824,0 cm in AP diameter with  circumferential lining mural thrombus,Splenic vein is  thrombosed,"Redemonstration of a superior mesenteric vein thrombus that extends  into the ileocolic branches of the SMV, with increased haziness  surrounding the course of the vein in the mesentery and with more  definite enhancemen","Filling defects of the splenic vein, SMV, and portal vein, which  are seen on prior studies dating back to <DATE> and likely represent  bland or tumor thrombus",Atherosclerosis with fusiform infrarenal abdominal aortic aneurysm with mural thrombus and measures 3
metastatic_disease,1788,837,625,26,22210,"2 cm  sclerotic lesion in the left L2 lamina (3/187), and 7 mm focus in the  posterior medial left T12 rib, likely reflecting treated bone  metastases",Multiple peritoneal nodules likely representing metastatic peritoneal implants,Ill-defined focus of washout in the caudate lobe of the liver  that corresponds to the recently biopsied focus of metastatic  colorectal adenocarcinoma,"REDEMONSTRATION OF A CAUDATE LOBE LESION THAT APPEARS UNCHANGED IN  SIZE AND EXHIBITS SLIGHTLY DECREASED VAGUE ENHANCEMENT WHEN COMPARED  TO THE PRIOR STUDIES FROM <DATE> AND <DATE>, COMPATIBLE WITH  RESIDUAL METASTATIC ","Redemonstration of a hypoattenuating hepatic lesion lesion in  segment 8/4a, unchanged, and consistent with a metastases"
renal_cyst,4479,33,245,7,20722,"statistically, likely represent renal cysts",Right renal exophytic cysts again noted,Small mildly hyperdense cyst in the lower pole  of left kidney,There are benign  cysts in both kidneys,There is a right parapelvic cyst in the  lower pole right kidney
osteopenia,1146,5,23,0,24312,Generalized  osteopenia,The bones are diffusely demineralized,Diffuse osteopenia,"The patient is severely osteopenic with degenerative changes,  levoscoliosis, and multilevel compression deformities throughout the  thoracolumbar spine",Diffuse  osteopenia is present
surgically_absent_gallbladder,5414,21,25,11,20015,Gallbladder: Surgically absent,Gallbladder: Surgically absent,The gallbladder is surgically absent,Gallbladder: Surgically absent,Gallbladder: Surgically absent
atelectasis,12149,18,473,25,12821,Moderate to large bilateral  pleural effusions with adjacent atelectasis,Dependent bibasilar atelectasis,Bibasilar patchy atelectasis is present,Lingular/right middle lobe atelectasis or scarring,Bilateral dependent atelectasis
abdominal_aortic_aneurysm,182,726,0,0,24578,There is infrarenal abdominal  aortic aneurysm measuring up to 4,Atherosclerosis with fusiform infrarenal abdominal aortic aneurysm with mural thrombus and measures 3,"The aorta is tortuous with some aneurysmal areas, with  the descending thoracic aorta measuring up to 3",INFRARENAL ABDOMINAL AORTIC ANEURYSM MEASURING 4,"Fusiform infrarenal aortic aneurysm, measuring up to 3"
anasarca,2540,15,11,3,22917,"There is mild, diffuse anasarca",There is improving body wall anasarca,Soft tissue anasarca,"New anasarca with a small amount of water-density  fluid in the right paracolic gutter and pelvis, and periportal edema  which may be related to fluid positive state",There is  body wall edema
hiatal_hernia,2703,21,23,1,22738,Small hiatal hernia,"Small hiatal hernia,",A hiatal hernia is present,Small hiatal hernia,There is a hiatal hernia
lymphadenopathy,2210,6027,50,5,17194,Lymph nodes: Enlarged upper abdominal nodes measuring up 1,There are several prominent lymph nodes in the mesentery  (3/294),Bilateral inguinal lymphadenopathy is unchanged,AN INCREASED NUMBER OF MILDLY PROMINENT LYMPH NODES IN THE RIGHT  LOWER QUADRANT ARE NONSPECIFIC,"There is redemonstration of pelvic lymphadenopathy,  nodular soft tissue along the left aspect of the vaginal cuff, and a  possible peritoneal nodule anterior to the colon in the left lower  quadrant"
prostatomegaly,1887,60,7,0,23532,The prostate gland appears  enlarged,The prostate is markedly enlarged  measuring 6,The prostate is enlarged measuring 4,The prostate is moderately enlarged,Mild prostatomegaly
biliary_ductal_dilation,3554,9187,27,22,12696,"Liver and biliary tree: Mild dilation of intra-and extra hepatic  biliary ducts may be secondary to postcholecystectomy state,  progressed from <DATE>","There is diffuse intrahepatic and  extrahepatic biliary ductal dilatation to the level of the ampulla,  without evidence of obstructing radiopaque stone, or mass",Mild intrahepatic ductal dilatation is  presumably for post the post cholecystectomy state   The adrenal glands are within normal limits,There is mild intrahepatic biliary dilatation  which is stable,There is moderate intrahepatic biliary ductal dilatation
cardiomegaly,1034,179,2,0,24271,Heart size is enlarged (left atrial enlargement) without pericardial  effusion,There is cardiomegaly with calcification at left ventricular apex  likely from old myocardial infarction,The heart is enlarged,The visualized portion of the heart is enlarged in size with coronary  artery calcifications,The heart is mildly enlarged with  a small pericardial effusion
splenomegaly,1753,356,3,2,23372,"SPLEEN: The spleen is enlarged, measuring 19 cm in maximum  craniocaudal dimension, similar to prior study","Splenomegaly, measuring 13",Unchanged splenomegaly with craniocaudal measurement of  approximately 18,Splenomegaly,decreased splenomegaly
hepatomegaly,913,10,3,0,24560,The liver demonstrates stable hepatomegaly compared to the exam from  <DATE>,Enlarged liver,Similar mild hepatomegaly with liver  measuring approximately 15,Liver is enlarged,Mild hepatomegaly  measuring 20 cm craniocaudal
atherosclerosis,5531,380,19,0,19556,Atherosclerosis without aneurysm,Multiple renal vascular calcifications are seen  bilaterally,Mild atherosclerosis is present in the abdominal aorta,The abdominal aorta is normal in course and caliber with moderate  atherosclerosis,Atherosclerosis without aneurysm
ascites,3400,1013,33,15,21025,"Trace ascites in the porta hepatis, left upper  quadrant and pelvis",There is interloop free fluid  as well as increase in abdominal ascites,"Trace ascites, which is nonspecific",Moderate abdominal and pelvic ascites,There is trace ascites that is nonspecific in the  setting of PD with a peritoneal dialysis catheter in place
pleural_effusion,4290,3385,21,140,17650,Moderate to large bilateral  pleural effusions with adjacent atelectasis,Moderate loculated intermediate density left pleural effusion in  keeping with hemothorax,Small bilateral pleural effusions with associated  atelectasis/consolidation,"Limited images of the lower thorax demonstrate a small  right and trace left pleural effusion with adjacent, enhancing  atelectasis",New trace bilateral pleural effusions
hepatic_steatosis,3046,205,172,0,22063,Liver: Diffuse fatty infiltration,"Decreased conspicuity of the previously seen  subtle subcapsular hypoattenuation in segment 3 (3/114), likely  representing focal fatty infiltration",DIFFUSE HEPATIC STEATOSIS,Liver:  Focal fatty infiltration is noted adjacent to the falciform  ligament,Hepatic steatosis
appendicitis,690,1300,146,6,23344,Findings likely  represent perforated appendicitis with abscess/phlegmon formation,Acute appendicitis without evidence of perforation or abscess,Secondary inflammatory infiltration extending  from the appendicitis to the right ovary,"1 cm with hyperemia, submucosal edema, and  periappendiceal stranding compatible with acute appendicitis","Within the right hemipelvis, there is a blind ending tubular  structure consistent with appendix, measuring up to 9 mm in diameter,  consistent with acute appendicitis"
gallstones,2316,2061,136,2,20971,Gallbladder: Contains a large gallstone measuring approximately 3,There is  question of a rounded low density gallstone within the gallbladder,Cholelithiasis without evidence of cholecystitis,The gallbladder is partially decompressed with evidence of  gallstones,A punctate radiopaque gallstone is present in the gallbladder without  evidence of wall thickening or pericholecystic fluid
hydronephrosis,1826,11189,8,44,12419,"Mild hydronephrosis is identified on the right, stable  from prior",A 4 mm calculus is identified in the left  proximal ureter (4/171) causing mild hydronephrosis with perinephric  stranding,There is mild to moderate right  hydroureteronephrosis related to obstructing renal calculus at the  right ureterovesicular junction,2mm just proximal  to the UVJ with hydroureteronephrosis and associated peri-nephric and  peri-ureteral stranding,There is a 5 mm distal left ureteral calculus which results in mild left hydronephrosis
bowel_obstruction,1618,8224,305,37,15302,"At the transition point in the pelvis, there is a  short segment of mild bowel wall thickening, which is improved from  prior","A focal loop of more decompressed bowel with moderate bowel  wall thickening is identified in the left lower quadrant with  transition point adjacent to the pelvic mass (series 4, image 253 and  series 4, image 207)",The transition point is at the right lower  quadrant ileostomy site (series 4/image 274 and series 6/images 103),"Two adjacent transition points are seen within the proximal jejunal limb exiting from the GJ anastomosis, compatible with a closed loop obstruction with a suspected component of an internal hernia",There are multiple loops of dilated  fluid-filled loops of jejunum with a transition point in the right  lower quadrant (601/50)
free_air,1148,8654,22,29,15633,This corresponds to the location of previously  demonstrated extraluminal gas seen on prior CT dated <DATE>,Small amount of extraluminal gas in the left lower quadrant is likely  due to recent surgery and the adjacent drain (2/173)   Peritoneal cavity,Previously noted layering hemoperitoneum as well as pneumoperitoneum  no longer seen on this study,The postsurgical intra-abdominal  free air appearing on the <DATE> study appears resolved,A punctate focus of extraluminal air is seen within this  fluid collection (4/301)
fracture,1596,1308,77,2,22503,Chronic L1 compression fracture (50% height loss) with vertebroplasty  material,Unchanged moderate compression fracture of L1,"Mild compression fracture of T11  and mild to moderate compression fracture of L1, which are age  indeterminate",Multiple healed right-sided rib fractures are  identified,"Redemonstration  of two sites of hardware fracture involving the right rod (series 4,  images 112, 131) and two sites of hardware fracture involving the  left rod (Series 4 images 113 and 130) similar in appearance to a "
